region,technology,installable_per_region,annual_energy_per_region,
AKL,pv_central_fixed,180668.17,40548476.87,
AKL,pv_central_track_azimuth,180668.17,62416678.15,
AKL,pv_decentral,2202.53,602355.08,
AKL,wind_offshore_floating,34722.03,16797596.68,
AKL,wind_offshore_foundation,12564.32,5582488.15,
AKL,wind_onshore,7569.17,2773127.47,
BOP,pv_central_fixed,237967.93,56033860.88,
BOP,pv_central_track_azimuth,237940.21,85399417.92,
BOP,pv_decentral,563.48,151973.07,
BOP,wind_offshore_floating,21897.48,11702961.55,
BOP,wind_offshore_foundation,5591.18,2279153.34,
BOP,wind_onshore,11395.98,3501829.39,
CAN,pv_central_fixed,1084125.15,270847622.1,
CAN,pv_central_track_azimuth,1074112.19,385289083.6,
CAN,pv_decentral,1192.04,338386.6,
CAN,wind_offshore_floating,67814.37,32542439.46,
CAN,wind_offshore_foundation,25377.45,8859825.28,
CAN,wind_onshore,32233.17,4868120.23,
CEN,pv_central_fixed,496940.86,117664369.3,
CEN,pv_central_track_azimuth,496940.86,175655552.5,
CEN,pv_decentral,516.01,140534.05,
CEN,wind_offshore_floating,6461.51,4004932.95,
CEN,wind_offshore_foundation,2038.37,1203025.27,
CEN,wind_onshore,16594.1,6325357.07,
HBY,pv_central_fixed,259195.98,61603744.7,
HBY,pv_central_track_azimuth,259195.98,93156409.03,
HBY,pv_decentral,264.27,73863.87,
HBY,wind_offshore_floating,15644.3,7883832.19,
HBY,wind_offshore_foundation,5583.2,2198732.32,
HBY,wind_onshore,10303.3,2876767.05,
NEL,pv_central_fixed,476713.75,119659308.6,
NEL,pv_central_track_azimuth,476366.65,179228228,
NEL,pv_decentral,327.97,93769.87,
NEL,wind_offshore_floating,92842.45,62443734.53,
NEL,wind_offshore_foundation,13346.61,6108454.48,
NEL,wind_onshore,14757.96,3264358.67,
NIS,pv_central_fixed,240137.79,53065685.72,
NIS,pv_central_track_azimuth,240137.79,83284507.08,
NIS,pv_decentral,216.21,57903.43,
NIS,wind_offshore_floating,46910.3,22172726.63,
NIS,wind_offshore_foundation,4841.3,2273711.26,
NIS,wind_onshore,9922.82,3404553.07,
OTG,pv_central_fixed,1165375.25,289682151.5,
OTG,pv_central_track_azimuth,1152875.15,403513235.2,
OTG,pv_decentral,488.21,130228.65,
OTG,wind_offshore_floating,156569.17,137732931,
OTG,wind_offshore_foundation,9931.86,6341480.22,
OTG,wind_onshore,34969.08,10182360.24,
TRN,pv_central_fixed,155547.31,36032269.38,
TRN,pv_central_track_azimuth,155547.31,54606999.87,
TRN,pv_decentral,264.93,75120.81,
TRN,wind_offshore_floating,70734.53,43705545.83,
TRN,wind_offshore_foundation,8922.93,5247786.49,
TRN,wind_onshore,6617.95,2315392.18,
WEL,pv_central_fixed,153416.46,39749955.64,
WEL,pv_central_track_azimuth,153375.88,60766595.94,
WEL,pv_decentral,734.94,218145.24,
WEL,wind_offshore_floating,14853.07,10236757.25,
WEL,wind_offshore_foundation,646.72,387390.12,
WEL,wind_onshore,6184.09,3155257.25,
WTO,pv_central_fixed,386808.91,81955011.1,
WTO,pv_central_track_azimuth,386808.91,122470741.4,
WTO,pv_decentral,836.37,208115.96,
WTO,wind_offshore_floating,14693.97,6940610.36,
WTO,wind_offshore_foundation,2028.53,843529.48,
WTO,wind_onshore,15005.59,3918480,
