nodesData,years,sourcesink_techs,commodity,lower,upper
AKL,2020,FuelImport,Water_out,-inf,0.0
AKL,2020,Slack,Elec,0.0,inf
AKL,2030,Slack,Elec,0.0,inf
AKL,2040,Slack,Elec,0.0,inf
AKL,2050,FuelImport,Water_out,-inf,0.0
AKL,2050,Slack,Elec,0.0,inf
BOP,2020,FuelImport,Water_out,-inf,0.0
BOP,2020,Slack,Elec,0.0,inf
BOP,2030,Slack,Elec,0.0,inf
BOP,2040,Slack,Elec,0.0,inf
BOP,2050,FuelImport,Water_out,-inf,0.0
BOP,2050,Slack,Elec,0.0,inf
CAN,2020,FuelImport,Water_out,-inf,0.0
CAN,2020,Slack,Elec,0.0,inf
CAN,2030,Slack,Elec,0.0,inf
CAN,2040,Slack,Elec,0.0,inf
CAN,2050,FuelImport,Water_out,-inf,0.0
CAN,2050,Slack,Elec,0.0,inf
CEN,2020,FuelImport,Water_out,-inf,0.0
CEN,2020,Slack,Elec,0.0,inf
CEN,2030,Slack,Elec,0.0,inf
CEN,2040,Slack,Elec,0.0,inf
CEN,2050,FuelImport,Water_out,-inf,0.0
CEN,2050,Slack,Elec,0.0,inf
HBY,2020,FuelImport,Water_out,-inf,0.0
HBY,2020,Slack,Elec,0.0,inf
HBY,2030,Slack,Elec,0.0,inf
HBY,2040,Slack,Elec,0.0,inf
HBY,2050,FuelImport,Water_out,-inf,0.0
HBY,2050,Slack,Elec,0.0,inf
NEL,2020,FuelImport,Water_out,-inf,0.0
NEL,2020,Slack,Elec,0.0,inf
NEL,2030,Slack,Elec,0.0,inf
NEL,2040,Slack,Elec,0.0,inf
NEL,2050,FuelImport,Water_out,-inf,0.0
NEL,2050,Slack,Elec,0.0,inf
NIS,2020,FuelImport,Water_out,-inf,0.0
NIS,2020,Slack,Elec,0.0,inf
NIS,2030,Slack,Elec,0.0,inf
NIS,2040,Slack,Elec,0.0,inf
NIS,2050,FuelImport,Water_out,-inf,0.0
NIS,2050,Slack,Elec,0.0,inf
OTG,2020,FuelImport,Water_out,-inf,0.0
OTG,2020,Slack,Elec,0.0,inf
OTG,2030,Slack,Elec,0.0,inf
OTG,2040,Slack,Elec,0.0,inf
OTG,2050,FuelImport,Water_out,-inf,0.0
OTG,2050,Slack,Elec,0.0,inf
TRN,2020,FuelImport,Water_out,-inf,0.0
TRN,2020,Slack,Elec,0.0,inf
TRN,2030,Slack,Elec,0.0,inf
TRN,2040,Slack,Elec,0.0,inf
TRN,2050,FuelImport,Water_out,-inf,0.0
TRN,2050,Slack,Elec,0.0,inf
WEL,2020,FuelImport,Water_out,-inf,0.0
WEL,2020,Slack,Elec,0.0,inf
WEL,2030,Slack,Elec,0.0,inf
WEL,2040,Slack,Elec,0.0,inf
WEL,2050,FuelImport,Water_out,-inf,0.0
WEL,2050,Slack,Elec,0.0,inf
WTO,2020,FuelImport,Water_out,-inf,0.0
WTO,2020,Slack,Elec,0.0,inf
WTO,2030,Slack,Elec,0.0,inf
WTO,2040,Slack,Elec,0.0,inf
WTO,2050,FuelImport,Water_out,-inf,0.0
WTO,2050,Slack,Elec,0.0,inf
