,,,,perUnitBuild,useAnnuity,amorTime,interest
Invest,global,Battery,2020,936,1,20,0.06
Invest,global,Battery,2030,440,1,20,0.06
Invest,global,Battery,2040,304,1,20,0.06
Invest,global,Battery,2050,244,1,20,0.06
Invest,global,H2_storage,2020,131.9,1,40,0.06
Invest,global,H2_storage,2035,131.9,1,40,0.06
Invest,global,H2_storage,2050,131.9,1,40,0.06
Invest,global,Lake_Hawea,1950,1650,1,20,0.06
OMFix,global,Battery,2020,0,0,0,0
OMFix,global,Battery,2030,0,0,0,0
OMFix,global,Battery,2040,0,0,0,0
OMFix,global,Battery,2050,0,0,0,0
OMFix,global,H2_storage,2020,0,0,0,0
OMFix,global,H2_storage,2035,0,0,0,0
OMFix,global,H2_storage,2050,0,0,0,0
OMFix,global,Lake_Hawea,1950,0,0,0,0
