,,,,coefficient
BIO,1950,Powergen,Elec,1
BIO,2030,Powergen,Elec,1
BIO,2050,Powergen,Elec,1
Battery,2020,Charge,Elec,-1
Battery,2020,Charge,Elec_battery,0.975
Battery,2020,Discharge,Elec,1
Battery,2020,Discharge,Elec_battery,-1.025
Battery,2030,Charge,Elec,-1
Battery,2030,Charge,Elec_battery,0.975
Battery,2030,Discharge,Elec,1
Battery,2030,Discharge,Elec_battery,-1.025
Battery,2040,Charge,Elec,-1
Battery,2040,Charge,Elec_battery,0.975
Battery,2040,Discharge,Elec,1
Battery,2040,Discharge,Elec_battery,-1.025
Battery,2050,Charge,Elec,-1
Battery,2050,Charge,Elec_battery,0.975
Battery,2050,Discharge,Elec,1
Battery,2050,Discharge,Elec_battery,-1.025
CCGT,1950,Powergen,Elec,1
CCGT,2030,Powergen,Elec,1
COAL,1950,Powergen,Elec,1
COAL,2030,Powergen,Elec,1
COAL,2050,Powergen,Elec,1
DIE,1950,Powergen,Elec,1
DIE,2030,Powergen,Elec,1
DIE,2050,Powergen,Elec,1
Electrolyser,2020,Electrolysis,Elec,-1
Electrolyser,2020,Electrolysis,H2,0.665
Electrolyser,2030,Electrolysis,Elec,-1
Electrolyser,2030,Electrolysis,H2,0.79
Electrolyser,2040,Electrolysis,Elec,-1
Electrolyser,2040,Electrolysis,H2,0.79
Electrolyser,2050,Electrolysis,Elec,-1
Electrolyser,2050,Electrolysis,H2,0.85
GT,1950,Powergen,Elec,1
GT,2030,Powergen,Elec,1
H2_CCGT,2030,Powergen,Elec,0.58
H2_CCGT,2030,Powergen,H2,-1
H2_CCGT,2035,Powergen,Elec,0.59
H2_CCGT,2035,Powergen,H2,-1
H2_CCGT,2040,Powergen,Elec,0.6
H2_CCGT,2040,Powergen,H2,-1
H2_CCGT,2045,Powergen,Elec,0.6
H2_CCGT,2045,Powergen,H2,-1
H2_CCGT,2050,Powergen,Elec,0.6
H2_CCGT,2050,Powergen,H2,-1
H2_FC,2020,Powergen,Elec,0.579
H2_FC,2020,Powergen,H2,-1
H2_FC,2025,Powergen,Elec,0.6134
H2_FC,2025,Powergen,H2,-1
H2_FC,2030,Powergen,Elec,0.6383
H2_FC,2030,Powergen,H2,-1
H2_FC,2035,Powergen,Elec,0.6477
H2_FC,2035,Powergen,H2,-1
H2_FC,2040,Powergen,Elec,0.6514
H2_FC,2040,Powergen,H2,-1
H2_FC,2045,Powergen,Elec,0.6686
H2_FC,2045,Powergen,H2,-1
H2_FC,2050,Powergen,Elec,0.6737
H2_FC,2050,Powergen,H2,-1
H2_storage,2020,Charge,Elec,-0.04335
H2_storage,2020,Charge,H2,-0.15
H2_storage,2020,Charge,H2_stored,0.1335
H2_storage,2020,Discharge,Elec,0
H2_storage,2020,Discharge,H2,0.15
H2_storage,2020,Discharge,H2_stored,-0.1665
H2_storage,2035,Charge,Elec,-0.03547
H2_storage,2035,Charge,H2,-0.15
H2_storage,2035,Charge,H2_stored,0.1335
H2_storage,2035,Discharge,Elec,0
H2_storage,2035,Discharge,H2,0.15
H2_storage,2035,Discharge,H2_stored,-0.1665
H2_storage,2050,Charge,Elec,-0.03153
H2_storage,2050,Charge,H2,-0.15
H2_storage,2050,Charge,H2_stored,0.1335
H2_storage,2050,Discharge,Elec,0
H2_storage,2050,Discharge,H2,0.15
H2_storage,2050,Discharge,H2_stored,-0.1665
Hydro,1950,Power_gen,Elec,1
Hydro,1950,Power_gen,Water_in,-0.95
Hydro,1950,Power_gen,Water_out,0.95
Hydro,1950,Spill,Elec,0
Hydro,1950,Spill,Water_in,-100
Hydro,1950,Spill,Water_out,100
OCGT,1950,Powergen,Elec,1
OCGT,2030,Powergen,Elec,1
geoth,1950,Powergen,Elec,1
pv_central_fixed,1950,Heatgen,Elec,0
pv_central_fixed,1950,Heatgen,Heat_CSP,0
pv_central_fixed,1950,Powergen,Elec,1
pv_central_fixed,1950,Powergen,Heat_CSP,0
pv_central_fixed,2030,Heatgen,Elec,0
pv_central_fixed,2030,Heatgen,Heat_CSP,0
pv_central_fixed,2030,Powergen,Elec,1
pv_central_fixed,2030,Powergen,Heat_CSP,0
pv_central_fixed,2040,Heatgen,Elec,0
pv_central_fixed,2040,Heatgen,Heat_CSP,0
pv_central_fixed,2040,Powergen,Elec,1
pv_central_fixed,2040,Powergen,Heat_CSP,0
pv_central_fixed,2050,Heatgen,Elec,0
pv_central_fixed,2050,Heatgen,Heat_CSP,0
pv_central_fixed,2050,Powergen,Elec,1
pv_central_fixed,2050,Powergen,Heat_CSP,0
pv_decentral,1950,Heatgen,Elec,0
pv_decentral,1950,Heatgen,Heat_CSP,0
pv_decentral,1950,Powergen,Elec,1
pv_decentral,1950,Powergen,Heat_CSP,0
pv_decentral,2030,Heatgen,Elec,0
pv_decentral,2030,Heatgen,Heat_CSP,0
pv_decentral,2030,Powergen,Elec,1
pv_decentral,2030,Powergen,Heat_CSP,0
pv_decentral,2040,Heatgen,Elec,0
pv_decentral,2040,Heatgen,Heat_CSP,0
pv_decentral,2040,Powergen,Elec,1
pv_decentral,2040,Powergen,Heat_CSP,0
pv_decentral,2050,Heatgen,Elec,0
pv_decentral,2050,Heatgen,Heat_CSP,0
pv_decentral,2050,Powergen,Elec,1
pv_decentral,2050,Powergen,Heat_CSP,0
wind_offshore_floating,1950,Heatgen,Elec,0
wind_offshore_floating,1950,Heatgen,Heat_CSP,0
wind_offshore_floating,1950,Powergen,Elec,1
wind_offshore_floating,1950,Powergen,Heat_CSP,0
wind_offshore_floating,2030,Heatgen,Elec,0
wind_offshore_floating,2030,Heatgen,Heat_CSP,0
wind_offshore_floating,2030,Powergen,Elec,1
wind_offshore_floating,2030,Powergen,Heat_CSP,0
wind_offshore_floating,2040,Heatgen,Elec,0
wind_offshore_floating,2040,Heatgen,Heat_CSP,0
wind_offshore_floating,2040,Powergen,Elec,1
wind_offshore_floating,2040,Powergen,Heat_CSP,0
wind_offshore_floating,2050,Heatgen,Elec,0
wind_offshore_floating,2050,Heatgen,Heat_CSP,0
wind_offshore_floating,2050,Powergen,Elec,1
wind_offshore_floating,2050,Powergen,Heat_CSP,0
wind_offshore_foundation,1950,Heatgen,Elec,0
wind_offshore_foundation,1950,Heatgen,Heat_CSP,0
wind_offshore_foundation,1950,Powergen,Elec,1
wind_offshore_foundation,1950,Powergen,Heat_CSP,0
wind_offshore_foundation,2030,Heatgen,Elec,0
wind_offshore_foundation,2030,Heatgen,Heat_CSP,0
wind_offshore_foundation,2030,Powergen,Elec,1
wind_offshore_foundation,2030,Powergen,Heat_CSP,0
wind_offshore_foundation,2040,Heatgen,Elec,0
wind_offshore_foundation,2040,Heatgen,Heat_CSP,0
wind_offshore_foundation,2040,Powergen,Elec,1
wind_offshore_foundation,2040,Powergen,Heat_CSP,0
wind_offshore_foundation,2050,Heatgen,Elec,0
wind_offshore_foundation,2050,Heatgen,Heat_CSP,0
wind_offshore_foundation,2050,Powergen,Elec,1
wind_offshore_foundation,2050,Powergen,Heat_CSP,0
wind_onshore,1950,Heatgen,Elec,0
wind_onshore,1950,Heatgen,Heat_CSP,0
wind_onshore,1950,Powergen,Elec,1
wind_onshore,1950,Powergen,Heat_CSP,0
wind_onshore,2030,Heatgen,Elec,0
wind_onshore,2030,Heatgen,Heat_CSP,0
wind_onshore,2030,Powergen,Elec,1
wind_onshore,2030,Powergen,Heat_CSP,0
wind_onshore,2040,Heatgen,Elec,0
wind_onshore,2040,Heatgen,Heat_CSP,0
wind_onshore,2040,Powergen,Elec,1
wind_onshore,2040,Powergen,Heat_CSP,0
wind_onshore,2050,Heatgen,Elec,0
wind_onshore,2050,Heatgen,Heat_CSP,0
wind_onshore,2050,Powergen,Elec,1
wind_onshore,2050,Powergen,Heat_CSP,0
